SppName	BodyMass	LogBodyMass
Ensifera_ensifera	11.2	1.049218023
Sephanoides_sephaniodes	5.255555556	0.720618631
Boissonneaua_flavescens	8.2	0.913813852
Boissonneaua_matthewsii	7.7	0.886490725
Boissonneaua_jardini	9.1	0.959041392
Heliangelus_mavors	4.2	0.62324929
Heliangelus_clarisse	5.5	0.740362689
Heliangelus_amethysticollis	5.088461538	0.706586496
Heliangelus_strophianus	5.5	0.740362689
Heliangelus_exortis	4.721678322	0.674096396
Heliangelus_viola	5.4	0.73239376
Heliangelus_regalis	3.6	0.556302501
Eriocnemis_nigriventris	4.55	0.658011397
Eriocnemis_vestita	4.635294118	0.666077296
Eriocnemis_luciani	6	0.77815125
Eriocnemis_cupreoventris	5.3	0.72427587
Eriocnemis_mosquera	5.3	0.72427587
Eriocnemis_glaucopoides	3.7	0.568201724
Eriocnemis_alinae	4.25	0.62838893
Eriocnemis_isabellae	4.1	0.612783857
Haplophaedia_aureliae	5.2	0.716003344
Haplophaedia_assimilis	4.8	0.681241237
Haplophaedia_lugens	6.9	0.838849091
Urosticte_benjamini	3.9	0.591064607
Urosticte_ruficrissa	4.3	0.633468456
Ocreatus_underwoodii	3	0.477121255
Lesbia_victoriae	5	0.698970004
Lesbia_nuna	3.7	0.568201724
Sappho_sparganura	5.3	0.72427587
Polyonymus_caroli	4.8	0.681241237
Ramphomicron_microrhynchum	3.6	0.556302501
Ramphomicron_dorsale	3.5	0.544068044
Metallura_williami	4.5	0.653212514
Metallura_baroni	4.3	0.633468456
Metallura_odomae	5.1	0.707570176
Metallura_theresiae	4.9	0.69019608
Metallura_eupogon	4.6	0.662757832
Metallura_aeneocauda	5.2	0.716003344
Metallura_phoebe	5.4	0.73239376
Metallura_tyrianthina	3.8	0.579783597
Metallura_iracunda	3.85	0.58546073
Chalcostigma_ruficeps	3.4	0.531478917
Chalcostigma_olivaceum	8.5	0.929418926
Chalcostigma_stanleyi	5.8	0.763427994
Chalcostigma_heteropogon	6.15	0.788875116
Chalcostigma_herrani	5.8	0.763427994
Oxypogon_guerinii	4.8	0.681241237
Opisthoprora_euryptera	6.3	0.799340549
Aglaiocercus_kingi	4.889473684	0.689262113
Aglaiocercus_berlepschi	5	0.698970004
Aglaiocercus_coelestis	5.50375	0.740658698
Oreonympha_nobilis	7.7	0.886490725
Augastes_lumachella	4	0.602059991
Augastes_scutatus	3	0.477121255
Schistes_geoffroyi	3.6	0.556302501
Heliothryx_barroti	5.5	0.740362689
Heliothryx_auritus	5.4	0.73239376
Heliactin_bilophus	4.4	0.643452676
Loddigesia_mirabilis	3	0.477121255
Heliomaster_constantii	7.3	0.86332286
Heliomaster_longirostris	6.6	0.819543936
Heliomaster_squamosus	5.9	0.770852012
Heliomaster_furcifer	5.4	0.73239376
Rhodopis_vesper	3.8	0.579783597
Thaumastura_cora	1.9	0.278753601
Calliphlox_bryantae	3.3	0.51851394
Calliphlox_mitchellii	3.1	0.491361694
Doricha_enicura	2.4	0.380211242
Doricha_eliza	2.5	0.397940009
Tilmatura_dupontii	2.2	0.342422681
Microstilbon_burmeisteri	2.5	0.397940009
Calothorax_lucifer	3.3	0.51851394
Calothorax_pulcher	2.7	0.431363764
Archilochus_colubris	3.217123288	0.507467704
Archilochus_alexandri	3.351134021	0.525191797
Calypte_anna	4.221707819	0.625488173
Calypte_costae	3.09	0.489958479
Calliphlox_amethystina	2.8	0.447158031
Stellula_calliope	2.608333333	0.416363091
Atthis_heloisa	2.2	0.342422681
Atthis_ellioti	2.9	0.462397998
Myrtis_fanny	2.3	0.361727836
Eulidia_yarrellii	2.45	0.389166084
Myrmia_micrura	3	0.477121255
Chaetocercus_mulsant	3.9	0.591064607
Chaetocercus_bombus	6.5	0.812913357
Chaetocercus_berlepschi	2	0.301029996
Selasphorus_platycercus	3.552912621	0.550584527
Selasphorus_rufus	3.5	0.544068044
Selasphorus_sasin	3.225333333	0.508574605
Selasphorus_flammula	2.646153846	0.42261509
Selasphorus_scintilla	2.2	0.342422681
Chlorostilbon_forficatus	2.5	0.397940009
Heliangelus_micraster	3.85	0.58546073
Leucippus_viridicauda	6.1	0.785329835
Leucippus_chionogaster	5.08125	0.705970563
